INFO [2022-11-15 00:29:12,402] autoreload Watching for file changes with StatReloader
INFO [2022-11-15 01:12:02,919] basehttp "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 941
INFO [2022-11-15 01:12:02,919] basehttp "GET /static/css/bootstrap-grid.css HTTP/1.1" 200 64537
INFO [2022-11-15 01:12:02,919] basehttp "GET /static/style.css HTTP/1.1" 200 30629
INFO [2022-11-15 01:12:02,924] basehttp "GET /static/css/code.css HTTP/1.1" 200 173
INFO [2022-11-15 01:12:02,943] basehttp "GET /static/vue/vue.js HTTP/1.1" 200 366064
INFO [2022-11-15 01:12:02,947] basehttp "GET /static/js/jquery.fitvids.js HTTP/1.1" 200 3437
INFO [2022-11-15 01:12:02,948] basehttp "GET /static/vue/apps/ListBlogs.js HTTP/1.1" 200 942
INFO [2022-11-15 01:12:02,948] basehttp "GET /static/vue/axios.js HTTP/1.1" 200 14355
INFO [2022-11-15 01:12:02,948] basehttp "GET /static/js/imagesloaded.pkgd.js HTTP/1.1" 200 27536
INFO [2022-11-15 01:12:02,952] basehttp "GET /static/js/jarallax-element.min.js HTTP/1.1" 200 4058
INFO [2022-11-15 01:12:02,953] basehttp "GET /static/js/jarallax.js HTTP/1.1" 200 39803
INFO [2022-11-15 01:12:02,953] basehttp "GET /static/js/jquery.js HTTP/1.1" 200 88145
INFO [2022-11-15 01:12:02,954] basehttp "GET /static/js/isotope.pkgd.js HTTP/1.1" 200 119966
INFO [2022-11-15 01:12:02,959] basehttp "GET /static/js/jquery.prettyPhoto.js HTTP/1.1" 200 21518
INFO [2022-11-15 01:12:02,959] basehttp "GET /static/js/main.js HTTP/1.1" 200 14095
INFO [2022-11-15 01:12:02,960] basehttp "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 42772
INFO [2022-11-15 01:12:02,969] basehttp "GET /static/images/scroll-icon.svg HTTP/1.1" 200 197
INFO [2022-11-15 01:12:02,974] basehttp "GET /static/images/gif-human.gif HTTP/1.1" 200 52837
WARNING [2022-11-15 01:12:02,977] log Not Found: /images/serv-icon-1.svg
WARNING [2022-11-15 01:12:02,980] basehttp "GET /images/serv-icon-1.svg HTTP/1.1" 404 3317
WARNING [2022-11-15 01:12:02,981] log Not Found: /images/serv-icon-2.svg
WARNING [2022-11-15 01:12:02,984] log Not Found: /images/about-img.jpg
WARNING [2022-11-15 01:12:02,984] basehttp "GET /images/serv-icon-2.svg HTTP/1.1" 404 3317
WARNING [2022-11-15 01:12:02,984] basehttp "GET /images/about-img.jpg HTTP/1.1" 404 3311
INFO [2022-11-15 01:12:02,994] basehttp "GET /static/images/works/kubernetes-logo.jpg HTTP/1.1" 200 27076
INFO [2022-11-15 01:12:02,995] basehttp "GET /static/images/works/tvempresa.png HTTP/1.1" 200 903649
INFO [2022-11-15 01:12:02,998] basehttp "GET /static/images/works/doctorcv.png HTTP/1.1" 200 913659
INFO [2022-11-15 01:12:03,006] basehttp "GET /static/images/works/carnipets.png HTTP/1.1" 200 4803259
INFO [2022-11-15 01:12:03,051] basehttp "GET /static/fonts/HACKED.ttf HTTP/1.1" 200 26664
INFO [2022-11-15 01:12:03,072] basehttp "GET /api/v1.0/api-blog HTTP/1.1" 200 52
INFO [2022-11-15 01:12:03,152] basehttp "GET /static/images/favicon.ico HTTP/1.1" 200 318
INFO [2022-11-15 01:13:13,312] basehttp "GET /static/images/close.png HTTP/1.1" 200 541
INFO [2022-11-15 01:13:13,312] basehttp "GET /static/images/nav_right.png HTTP/1.1" 200 305
INFO [2022-11-15 01:13:13,313] basehttp "GET /static/images/nav_left.png HTTP/1.1" 200 309
INFO [2022-11-15 01:13:13,523] basehttp "GET /static/images/prettyPhoto/light_rounded/btnNext.png HTTP/1.1" 200 865
WARNING [2022-11-15 01:18:42,010] log Not Found: /admin-django
WARNING [2022-11-15 01:18:42,010] basehttp "GET /admin-django HTTP/1.1" 404 3287
WARNING [2022-11-15 01:18:42,070] log Not Found: /favicon.ico
WARNING [2022-11-15 01:18:42,070] basehttp "GET /favicon.ico HTTP/1.1" 404 3284
INFO [2022-11-15 01:18:50,452] basehttp "GET /admin HTTP/1.1" 301 0
INFO [2022-11-15 01:18:50,467] basehttp "GET /admin/ HTTP/1.1" 302 0
INFO [2022-11-15 01:18:50,549] basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2271
INFO [2022-11-15 01:18:50,562] basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 20344
INFO [2022-11-15 01:18:50,570] basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 796
INFO [2022-11-15 01:18:50,570] basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO [2022-11-15 01:18:50,571] basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2619
INFO [2022-11-15 01:18:50,572] basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18854
INFO [2022-11-15 01:18:50,572] basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3763
INFO [2022-11-15 01:18:50,586] basehttp "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO [2022-11-15 01:18:50,660] basehttp "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO [2022-11-15 01:18:50,661] basehttp "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO [2022-11-15 01:19:41,969] basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2271
INFO [2022-11-15 01:19:41,984] basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO [2022-11-15 01:19:41,984] basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO [2022-11-15 01:19:41,984] basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO [2022-11-15 01:19:41,984] basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO [2022-11-15 01:19:41,985] basehttp "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO [2022-11-15 01:19:41,988] basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO [2022-11-15 01:19:42,038] basehttp "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO [2022-11-15 01:19:42,104] basehttp "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO [2022-11-15 01:19:42,104] basehttp "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO [2022-11-15 01:19:47,650] basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO [2022-11-15 01:19:47,670] basehttp "GET /admin/ HTTP/1.1" 200 6388
INFO [2022-11-15 01:19:47,681] basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
INFO [2022-11-15 01:19:47,741] basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO [2022-11-15 01:19:47,741] basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO [2022-11-15 01:19:47,748] basehttp "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO [2022-11-15 01:19:50,622] basehttp "GET /admin/blog/blogarticle/ HTTP/1.1" 200 7025
INFO [2022-11-15 01:19:50,639] basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6395
INFO [2022-11-15 01:19:50,639] basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 5698
INFO [2022-11-15 01:19:50,640] basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO [2022-11-15 01:19:50,640] basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8985
INFO [2022-11-15 01:19:50,648] basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO [2022-11-15 01:19:50,648] basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO [2022-11-15 01:19:50,649] basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7902
INFO [2022-11-15 01:19:50,649] basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 7640
INFO [2022-11-15 01:19:50,650] basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO [2022-11-15 01:19:50,651] basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 288580
INFO [2022-11-15 01:19:50,666] basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 966
INFO [2022-11-15 01:19:50,684] basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO [2022-11-15 01:19:51,911] basehttp "GET /admin/blog/configblog/ HTTP/1.1" 200 7072
INFO [2022-11-15 01:19:51,931] basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 7640
INFO [2022-11-15 01:19:53,224] basehttp "GET /admin/blog/categoryarticle/ HTTP/1.1" 200 7033
INFO [2022-11-15 01:19:53,246] basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 7640
INFO [2022-11-15 01:19:53,897] basehttp "GET /admin/blog/blogtag/ HTTP/1.1" 200 7082
INFO [2022-11-15 01:19:53,918] basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 7640
INFO [2022-11-15 01:19:55,128] basehttp "GET /admin/userprofile/userprofile/ HTTP/1.1" 200 7100
INFO [2022-11-15 01:19:55,147] basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 7640
INFO [2022-11-15 01:19:56,158] basehttp "GET /admin/userprofile/userprofile/ HTTP/1.1" 200 7100
INFO [2022-11-15 01:19:56,176] basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 7640
INFO [2022-11-15 01:23:40,828] basehttp "GET / HTTP/1.1" 200 17378
INFO [2022-11-15 01:23:40,849] basehttp "GET /static/style.css HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,849] basehttp "GET /static/css/clear.css HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,849] basehttp "GET /static/css/owl.carousel.min.css HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,849] basehttp "GET /static/css/owl.theme.default.min.css HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,850] basehttp "GET /static/css/bootstrap-grid.css HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,850] basehttp "GET /static/css/prettyPhoto.css HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,851] basehttp "GET /static/css/code.css HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,867] basehttp "GET /static/vue/apps/ListBlogs.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,867] basehttp "GET /static/vue/axios.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,868] basehttp "GET /static/vue/vue.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,868] basehttp "GET /static/js/jquery.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,897] basehttp "GET /static/js/imagesloaded.pkgd.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,898] basehttp "GET /static/js/jquery.fitvids.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,916] basehttp "GET /static/js/jarallax.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,916] basehttp "GET /static/js/jarallax-element.min.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,916] basehttp "GET /static/js/jquery.prettyPhoto.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,916] basehttp "GET /static/js/isotope.pkgd.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,940] basehttp "GET /static/fonts/HACKED.ttf HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,944] basehttp "GET /static/images/gif-human.gif HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,963] basehttp "GET /static/images/scroll-icon.svg HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,964] basehttp "GET /static/js/owl.carousel.min.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,965] basehttp "GET /static/js/main.js HTTP/1.1" 304 0
INFO [2022-11-15 01:23:40,969] basehttp "GET /api/v1.0/api-blog HTTP/1.1" 200 52
WARNING [2022-11-15 01:23:41,000] log Not Found: /images/serv-icon-1.svg
WARNING [2022-11-15 01:23:41,001] log Not Found: /images/serv-icon-2.svg
WARNING [2022-11-15 01:23:41,002] basehttp "GET /images/serv-icon-1.svg HTTP/1.1" 404 3317
WARNING [2022-11-15 01:23:41,002] basehttp "GET /images/serv-icon-2.svg HTTP/1.1" 404 3317
INFO [2022-11-15 01:23:41,008] basehttp "GET /static/images/works/tvempresa.png HTTP/1.1" 304 0
WARNING [2022-11-15 01:23:41,010] log Not Found: /images/about-img.jpg
WARNING [2022-11-15 01:23:41,012] basehttp "GET /images/about-img.jpg HTTP/1.1" 404 3311
INFO [2022-11-15 01:23:41,013] basehttp "GET /static/images/works/kubernetes-logo.jpg HTTP/1.1" 304 0
INFO [2022-11-15 01:23:41,013] basehttp "GET /static/images/works/carnipets.png HTTP/1.1" 304 0
INFO [2022-11-15 01:23:41,013] basehttp "GET /static/images/works/doctorcv.png HTTP/1.1" 304 0
INFO [2022-11-15 01:23:54,043] basehttp "GET / HTTP/1.1" 200 17378
WARNING [2022-11-15 01:23:54,076] log Not Found: /images/serv-icon-1.svg
WARNING [2022-11-15 01:23:54,077] log Not Found: /images/about-img.jpg
WARNING [2022-11-15 01:23:54,078] log Not Found: /images/serv-icon-2.svg
WARNING [2022-11-15 01:23:54,079] basehttp "GET /images/serv-icon-1.svg HTTP/1.1" 404 3317
WARNING [2022-11-15 01:23:54,079] basehttp "GET /images/about-img.jpg HTTP/1.1" 404 3311
WARNING [2022-11-15 01:23:54,079] basehttp "GET /images/serv-icon-2.svg HTTP/1.1" 404 3317
INFO [2022-11-15 01:23:54,100] basehttp "GET /api/v1.0/api-blog HTTP/1.1" 200 52
INFO [2022-11-15 01:23:54,128] basehttp "GET /static/images/favicon.ico HTTP/1.1" 304 0
INFO [2022-11-15 01:23:55,601] basehttp "GET / HTTP/1.1" 200 17378
INFO [2022-11-15 01:23:55,617] basehttp "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 2941
INFO [2022-11-15 01:23:55,618] basehttp "GET /static/css/clear.css HTTP/1.1" 200 1661
INFO [2022-11-15 01:23:55,618] basehttp "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 941
INFO [2022-11-15 01:23:55,618] basehttp "GET /static/css/prettyPhoto.css HTTP/1.1" 200 26950
INFO [2022-11-15 01:23:55,619] basehttp "GET /static/css/bootstrap-grid.css HTTP/1.1" 200 64537
INFO [2022-11-15 01:23:55,619] basehttp "GET /static/style.css HTTP/1.1" 200 30629
INFO [2022-11-15 01:23:55,628] basehttp "GET /static/vue/apps/ListBlogs.js HTTP/1.1" 200 942
INFO [2022-11-15 01:23:55,628] basehttp "GET /static/css/code.css HTTP/1.1" 200 173
INFO [2022-11-15 01:23:55,629] basehttp "GET /static/js/imagesloaded.pkgd.js HTTP/1.1" 200 27536
INFO [2022-11-15 01:23:55,629] basehttp "GET /static/vue/axios.js HTTP/1.1" 200 14355
INFO [2022-11-15 01:23:55,630] basehttp "GET /static/js/jquery.js HTTP/1.1" 200 88145
INFO [2022-11-15 01:23:55,631] basehttp "GET /static/vue/vue.js HTTP/1.1" 200 366064
INFO [2022-11-15 01:23:55,634] basehttp "GET /static/js/jarallax-element.min.js HTTP/1.1" 200 4058
INFO [2022-11-15 01:23:55,635] basehttp "GET /static/js/jquery.fitvids.js HTTP/1.1" 200 3437
INFO [2022-11-15 01:23:55,635] basehttp "GET /static/js/jarallax.js HTTP/1.1" 200 39803
INFO [2022-11-15 01:23:55,636] basehttp "GET /static/js/isotope.pkgd.js HTTP/1.1" 200 119966
INFO [2022-11-15 01:23:55,639] basehttp "GET /static/js/main.js HTTP/1.1" 200 14095
INFO [2022-11-15 01:23:55,639] basehttp "GET /static/js/jquery.prettyPhoto.js HTTP/1.1" 200 21518
INFO [2022-11-15 01:23:55,639] basehttp "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 42772
INFO [2022-11-15 01:23:55,647] basehttp "GET /static/images/scroll-icon.svg HTTP/1.1" 200 197
WARNING [2022-11-15 01:23:55,649] log Not Found: /images/serv-icon-1.svg
WARNING [2022-11-15 01:23:55,649] basehttp "GET /images/serv-icon-1.svg HTTP/1.1" 404 3317
INFO [2022-11-15 01:23:55,650] basehttp "GET /static/images/gif-human.gif HTTP/1.1" 200 52837
WARNING [2022-11-15 01:23:55,658] log Not Found: /images/about-img.jpg
WARNING [2022-11-15 01:23:55,659] log Not Found: /images/serv-icon-2.svg
WARNING [2022-11-15 01:23:55,659] basehttp "GET /images/about-img.jpg HTTP/1.1" 404 3311
WARNING [2022-11-15 01:23:55,659] basehttp "GET /images/serv-icon-2.svg HTTP/1.1" 404 3317
INFO [2022-11-15 01:23:55,668] basehttp "GET /static/images/works/tvempresa.png HTTP/1.1" 200 903649
INFO [2022-11-15 01:23:55,674] basehttp "GET /static/images/works/kubernetes-logo.jpg HTTP/1.1" 200 27076
INFO [2022-11-15 01:23:55,683] basehttp "GET /static/images/works/doctorcv.png HTTP/1.1" 200 913659
INFO [2022-11-15 01:23:55,687] basehttp "GET /static/images/works/carnipets.png HTTP/1.1" 200 4803259
INFO [2022-11-15 01:23:55,690] basehttp "GET /api/v1.0/api-blog HTTP/1.1" 200 52
INFO [2022-11-15 01:23:55,695] basehttp "GET /static/fonts/HACKED.ttf HTTP/1.1" 200 26664
INFO [2022-11-15 01:23:55,762] basehttp "GET /static/images/favicon.ico HTTP/1.1" 200 318
INFO [2022-11-15 01:24:17,007] autoreload Watching for file changes with StatReloader
INFO [2022-11-15 01:24:20,968] basehttp "GET / HTTP/1.1" 200 17378
WARNING [2022-11-15 01:24:21,005] log Not Found: /images/serv-icon-1.svg
WARNING [2022-11-15 01:24:21,007] log Not Found: /images/serv-icon-2.svg
WARNING [2022-11-15 01:24:21,008] log Not Found: /images/about-img.jpg
WARNING [2022-11-15 01:24:21,008] basehttp "GET /images/serv-icon-1.svg HTTP/1.1" 404 3317
WARNING [2022-11-15 01:24:21,008] basehttp "GET /images/serv-icon-2.svg HTTP/1.1" 404 3317
WARNING [2022-11-15 01:24:21,009] basehttp "GET /images/about-img.jpg HTTP/1.1" 404 3311
INFO [2022-11-15 01:24:21,023] basehttp "GET /api/v1.0/api-blog HTTP/1.1" 200 52
INFO [2022-11-15 01:24:23,362] basehttp "GET / HTTP/1.1" 200 17378
INFO [2022-11-15 01:24:23,379] basehttp "GET /static/css/clear.css HTTP/1.1" 200 1661
INFO [2022-11-15 01:24:23,380] basehttp "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 2941
INFO [2022-11-15 01:24:23,380] basehttp "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 941
INFO [2022-11-15 01:24:23,380] basehttp "GET /static/css/prettyPhoto.css HTTP/1.1" 200 26950
INFO [2022-11-15 01:24:23,381] basehttp "GET /static/style.css HTTP/1.1" 200 30629
INFO [2022-11-15 01:24:23,381] basehttp "GET /static/css/bootstrap-grid.css HTTP/1.1" 200 64537
INFO [2022-11-15 01:24:23,390] basehttp "GET /static/css/code.css HTTP/1.1" 200 173
INFO [2022-11-15 01:24:23,391] basehttp "GET /static/vue/apps/ListBlogs.js HTTP/1.1" 200 942
INFO [2022-11-15 01:24:23,391] basehttp "GET /static/js/imagesloaded.pkgd.js HTTP/1.1" 200 27536
INFO [2022-11-15 01:24:23,391] basehttp "GET /static/vue/axios.js HTTP/1.1" 200 14355
INFO [2022-11-15 01:24:23,391] basehttp "GET /static/js/jquery.js HTTP/1.1" 200 88145
INFO [2022-11-15 01:24:23,393] basehttp "GET /static/vue/vue.js HTTP/1.1" 200 366064
INFO [2022-11-15 01:24:23,395] basehttp "GET /static/js/jarallax-element.min.js HTTP/1.1" 200 4058
INFO [2022-11-15 01:24:23,396] basehttp "GET /static/js/jquery.fitvids.js HTTP/1.1" 200 3437
INFO [2022-11-15 01:24:23,396] basehttp "GET /static/js/jarallax.js HTTP/1.1" 200 39803
INFO [2022-11-15 01:24:23,397] basehttp "GET /static/js/isotope.pkgd.js HTTP/1.1" 200 119966
INFO [2022-11-15 01:24:23,401] basehttp "GET /static/js/main.js HTTP/1.1" 200 14095
INFO [2022-11-15 01:24:23,402] basehttp "GET /static/js/jquery.prettyPhoto.js HTTP/1.1" 200 21518
INFO [2022-11-15 01:24:23,402] basehttp "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 42772
INFO [2022-11-15 01:24:23,407] basehttp "GET /static/images/gif-human.gif HTTP/1.1" 200 52837
INFO [2022-11-15 01:24:23,413] basehttp "GET /static/images/scroll-icon.svg HTTP/1.1" 200 197
WARNING [2022-11-15 01:24:23,417] log Not Found: /images/serv-icon-2.svg
WARNING [2022-11-15 01:24:23,418] log Not Found: /images/serv-icon-1.svg
WARNING [2022-11-15 01:24:23,418] basehttp "GET /images/serv-icon-2.svg HTTP/1.1" 404 3317
WARNING [2022-11-15 01:24:23,418] basehttp "GET /images/serv-icon-1.svg HTTP/1.1" 404 3317
WARNING [2022-11-15 01:24:23,425] log Not Found: /images/about-img.jpg
WARNING [2022-11-15 01:24:23,425] basehttp "GET /images/about-img.jpg HTTP/1.1" 404 3311
INFO [2022-11-15 01:24:23,428] basehttp "GET /static/images/works/tvempresa.png HTTP/1.1" 200 903649
INFO [2022-11-15 01:24:23,434] basehttp "GET /static/images/works/doctorcv.png HTTP/1.1" 200 913659
INFO [2022-11-15 01:24:23,437] basehttp "GET /static/images/works/kubernetes-logo.jpg HTTP/1.1" 200 27076
INFO [2022-11-15 01:24:23,444] basehttp "GET /static/images/works/carnipets.png HTTP/1.1" 200 4803259
INFO [2022-11-15 01:24:23,452] basehttp "GET /static/fonts/HACKED.ttf HTTP/1.1" 200 26664
INFO [2022-11-15 01:24:23,464] basehttp "GET /api/v1.0/api-blog HTTP/1.1" 200 52
INFO [2022-11-15 01:24:23,508] basehttp "GET /static/images/favicon.ico HTTP/1.1" 200 318
INFO [2022-11-15 01:25:00,677] autoreload Watching for file changes with StatReloader
INFO [2022-11-15 01:25:03,571] basehttp "GET / HTTP/1.1" 200 17378
WARNING [2022-11-15 01:25:03,609] log Not Found: /images/about-img.jpg
WARNING [2022-11-15 01:25:03,610] log Not Found: /images/serv-icon-2.svg
WARNING [2022-11-15 01:25:03,612] log Not Found: /images/serv-icon-1.svg
WARNING [2022-11-15 01:25:03,612] basehttp "GET /images/about-img.jpg HTTP/1.1" 404 3311
WARNING [2022-11-15 01:25:03,612] basehttp "GET /images/serv-icon-2.svg HTTP/1.1" 404 3317
WARNING [2022-11-15 01:25:03,613] basehttp "GET /images/serv-icon-1.svg HTTP/1.1" 404 3317
INFO [2022-11-15 01:25:03,639] basehttp "GET /api/v1.0/api-blog HTTP/1.1" 200 52
INFO [2022-11-15 01:25:05,617] basehttp "GET / HTTP/1.1" 200 17378
INFO [2022-11-15 01:25:05,637] basehttp "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 2941
INFO [2022-11-15 01:25:05,639] basehttp "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 941
INFO [2022-11-15 01:25:05,640] basehttp "GET /static/css/prettyPhoto.css HTTP/1.1" 200 26950
INFO [2022-11-15 01:25:05,640] basehttp "GET /static/css/bootstrap-grid.css HTTP/1.1" 200 64537
INFO [2022-11-15 01:25:05,640] basehttp "GET /static/style.css HTTP/1.1" 200 30629
INFO [2022-11-15 01:25:05,641] basehttp "GET /static/css/clear.css HTTP/1.1" 200 1661
INFO [2022-11-15 01:25:05,643] basehttp "GET /static/css/code.css HTTP/1.1" 200 173
INFO [2022-11-15 01:25:05,652] basehttp "GET /static/vue/axios.js HTTP/1.1" 200 14355
INFO [2022-11-15 01:25:05,652] basehttp "GET /static/js/imagesloaded.pkgd.js HTTP/1.1" 200 27536
INFO [2022-11-15 01:25:05,652] basehttp "GET /static/vue/apps/ListBlogs.js HTTP/1.1" 200 942
INFO [2022-11-15 01:25:05,653] basehttp "GET /static/js/jquery.js HTTP/1.1" 200 88145
INFO [2022-11-15 01:25:05,654] basehttp "GET /static/vue/vue.js HTTP/1.1" 200 366064
INFO [2022-11-15 01:25:05,657] basehttp "GET /static/js/jquery.fitvids.js HTTP/1.1" 200 3437
INFO [2022-11-15 01:25:05,657] basehttp "GET /static/js/jarallax-element.min.js HTTP/1.1" 200 4058
INFO [2022-11-15 01:25:05,657] basehttp "GET /static/js/jarallax.js HTTP/1.1" 200 39803
INFO [2022-11-15 01:25:05,658] basehttp "GET /static/js/isotope.pkgd.js HTTP/1.1" 200 119966
INFO [2022-11-15 01:25:05,661] basehttp "GET /static/js/main.js HTTP/1.1" 200 14095
INFO [2022-11-15 01:25:05,662] basehttp "GET /static/js/jquery.prettyPhoto.js HTTP/1.1" 200 21518
